1000,1,244009666.0
2000,1,1467592126.0
3000,4,2448583358.0
2000,16,1929196461.0
1000,2,222475309.0
5000,4,12071604358.0
1000,8,448865563.0
5000,16,10669735692.0
1000,16,874855889.0
3000,2,3183703944.0
4000,16,6326662525.0
2000,4,918609990.0
3000,8,2649989228.0
4000,8,5302928970.0
5000,8,10692141108.0
5000,1,30998544916.0
5000,2,17722028013.0
4000,1,15088678203.0
3000,16,3541298094.0
4000,4,6432329004.0
2000,8,1167753048.0
1000,4,271716884.0
3000,1,5609214219.0
4000,2,8481417878.0
2000,2,942841175.0
7000,4,33007985562.0
6000,16,20522772003.0
7000,16,32609809103.0
6000,1,55326545405.0
6000,2,31411448387.0
7000,1,88462688237.0
7000,8,31712859941.0
6000,4,20519852536.0
7000,2,50418686561.0
6000,8,18895818842.0
5000,32,16814523862.0
4000,32,9904093561.0
1000,32,1797046317.0
2000,32,3654765509.0
3000,32,5949244399.0
7000,32,28911962968.0
6000,32,19998747124.0
8000,2,78305889516.0
8000,1,158940281253.0
8000,32,39025354268.0
8000,8,41245537824.0
8000,4,51632220944.0
8000,16,47101544232.0
