1000,1,165759736.0
2000,1,1288180737.0
3000,4,1571774146.0
2000,16,135107343.0
1000,2,94964211.0
5000,4,9303018942.0
1000,8,36013835.0
5000,16,5476307032.0
1000,16,31854239.0
3000,2,2791001974.0
4000,16,2222559277.0
2000,4,371115695.0
3000,8,973334979.0
4000,8,2727522092.0
5000,8,6087418450.0
5000,1,32521530435.0
5000,2,16084179291.0
4000,1,14675891771.0
3000,16,563812365.0
4000,4,4310416017.0
2000,8,212652150.0
1000,4,53261405.0
3000,1,5425425426.0
4000,2,7504314065.0
2000,2,702457736.0
7000,4,28944111263.0
6000,16,13451958587.0
7000,16,19199101498.0
6000,1,54573833905.0
6000,2,30039223870.0
7000,1,88244217200.0
7000,8,21514685947.0
6000,4,17820208875.0
7000,2,47510954289.0
6000,8,12650224421.0
5000,32,4647434115.0
4000,32,1883895912.0
1000,32,40510341.0
2000,32,143011132.0
3000,32,414003421.0
7000,32,16536365726.0
6000,32,9666736483.0
8000,2,72234297371.0
8000,1,133456588417.0
8000,32,27801910271.0
8000,8,32636305853.0
8000,4,45021561886.0
8000,16,30557668598.0
